;32;64;128;256;512;1024
1024;0,004864;0,005792;0,0056;0,00592;0,005952;0,00624
2048;0,004672;0,004864;0,004768;0,004832;0,004896;0,004992
4096;0,0056;0,005536;0,00544;0,00544;0,00544;0,005728
8192;0,00544;0,005408;0,00544;0,005568;0,005408;0,005408
16384;0,005312;0,0056;0,005536;0,006304;0,005696;0,006688
32768;0,006336;0,005696;0,007008;0,006272;0,007104;0,0064
65536;0,008096;0,008128;0,007264;0,006528;0,006816;0,006688
131072;0,013472;0,013824;0,012864;0,009056;0,009344;0,00912
262144;0,022336;0,019584;0,019264;0,021568;0,01904;0,023456
524288;0,04096;0,040768;0,040736;0,04064;0,042624;0,037536
1048576;0,074656;0,07376;0,073312;0,08352;0,073344;0,074144
2097152;0,150016;0,163232;0,159232;0,147296;0,154112;0,145824
4194304;0,293568;0,29024;0,290176;0,295456;0,290464;0,291776
8388608;0,624672;0,61696;0,612544;0,594336;0,625504;0,597248
ThreadsPerBlock;Block;Timer
32;1024;0.006816
32;2048;0.006656
32;4096;0.007328
32;8192;0.007488
32;16384;0.00752
32;32768;0.008928
32;65536;0.010368
32;131072;0.01488
32;262144;0.023456
32;524288;0.040608
32;1048576;0.084032
32;2097152;0.148352
32;4194304;0.300928
32;8388608;0.57648
64;1024;0.007232
64;2048;0.00672
64;4096;0.00752
64;8192;0.007488
64;16384;0.007456
64;32768;0.007744
64;65536;0.008448
64;131072;0.011776
64;262144;0.0248
64;524288;0.041312
64;1048576;0.079584
64;2097152;0.148288
64;4194304;0.298656
64;8388608;0.575744
128;1024;0.006688
128;2048;0.006688
128;4096;0.006816
128;8192;0.00752
128;16384;0.007648
128;32768;0.007552
128;65536;0.00912
128;131072;0.015296
128;262144;0.022336
128;524288;0.039296
128;1048576;0.079232
128;2097152;0.148032
128;4194304;0.30544
128;8388608;0.576
256;1024;0.006816
256;2048;0.006912
256;4096;0.007168
256;8192;0.006848
256;16384;0.007616
256;32768;0.007456
256;65536;0.00832
256;131072;0.011712
256;262144;0.024416
256;524288;0.038976
256;1048576;0.07776
256;2097152;0.148512
256;4194304;0.307072
256;8388608;0.574688
512;1024;0.007168
512;2048;0.007008
